transaction_id,timestamp_sec,amount,mcc,mcc_risk_weight,is_decline,hour_of_day_sin,hour_of_day_cos,card_type,device_risk_score,velocity,geo_distance_km,card_age_days,failed_attempts_24h,user_agent_category,provisioning_channel,nfc_tap_latency_ms,bnpl_bureau_inquiries,raas_dispute_score,bopis_pickup_delay_min,is_fraud,attack_vector,fraud_subtype
TX_LEG_STD_000010,499.67191389941024,11.54,5912,0.12,0,0.0363,0.9993,amex,0.3202,1.78,20.43,278.0,0,standard_browser,1,0.0,0,0.0096,0.0,0,legitimate,legitimate_standard
TX_LEG_STD_000011,502.2349195758963,10.77,5812,0.15,0,0.0365,0.9993,mastercard,0.1963,2.07,35.32,863.0,0,standard_browser,0,33.2,0,0.0202,0.0,0,legitimate,legitimate_standard
TX_LEG_STD_000012,531.9286671237222,20.35,4121,0.35,1,0.0387,0.9993,visa,0.1086,2.46,30.94,729.0,0,standard_browser,0,0.0,0,0.063,0.0,0,legitimate,legitimate_standard
TX_LEG_STD_000013,561.2073727339173,4.35,5541,0.18,1,0.0408,0.9992,visa,0.201,1.45,40.09,569.0,0,standard_browser,0,0.0,0,0.0149,0.0,0,legitimate,legitimate_standard
TX_LEG_STD_000014,571.4836670237787,4.79,5812,0.15,0,0.0415,0.9991,mastercard,0.0247,1.25,23.15,786.0,0,standard_browser,0,52.8,0,0.0307,0.0,0,legitimate,legitimate_standard
TX_LEG_STD_000015,599.427341646141,11.44,5912,0.12,0,0.0436,0.9991,mastercard,0.1589,1.02,0.1,3036.0,0,standard_browser,0,0.0,0,0.0114,377.0,0,legitimate,legitimate_standard
TX_LEG_STD_000016,616.7462717761325,8.25,5812,0.15,0,0.0448,0.999,visa,0.093,1.78,52.3,3488.0,0,standard_browser,1,57.9,0,0.0184,0.0,0,legitimate,legitimate_standard
TX_LEG_STD_000017,639.3961730003518,20.86,7523,0.3,0,0.0465,0.9989,mastercard,0.1583,2.33,4.62,250.0,0,standard_browser,0,0.0,1,0.0036,333.0,0,legitimate,legitimate_standard
TX_LEG_STD_000018,643.4498957826264,8.63,5541,0.18,0,0.0468,0.9989,visa,0.015,1.49,33.92,1247.0,1,standard_browser,0,0.0,1,0.0637,0.0,0,legitimate,legitimate_standard
TX_LEG_STD_000019,683.9484580556984,6.11,5541,0.18,0,0.0497,0.9988,mastercard,0.0122,1.76,13.03,199.0,0,standard_browser,0,0.0,0,0.0678,0.0,0,legitimate,legitimate_standard
TX_LEG_STD_000020,722.0185571938913,46.83,5411,0.1,0,0.0525,0.9986,visa,0.2123,1.1,0.1,185.0,0,standard_browser,0,0.0,0,0.2355,0.0,0,legitimate,legitimate_standard
TX_LEG_HN_000008,723.9658806706011,125.56,4121,0.35,0,0.0526,0.9986,visa,0.1233,1.78,7976.85,612.0,0,standard_browser,0,0.0,2,0.0632,0.0,0,legitimate_hard_negative,legitimate_hard_negative
TX_LEG_STD_000021,750.573497385372,13.22,4121,0.35,0,0.0546,0.9985,visa,0.0736,1.16,19.08,1239.0,0,standard_browser,0,0.0,0,0.0856,0.0,0,legitimate,legitimate_standard
TX_LEG_HN_000009,763.4599480207527,59.43,5999,0.85,0,0.0555,0.9985,visa,0.4289,1.32,826.21,738.0,0,standard_browser,2,0.0,1,0.017,0.0,0,legitimate_hard_negative,legitimate_hard_negative
TX_LEG_STD_000022,782.2994330769391,17.47,5411,0.1,0,0.0569,0.9984,visa,0.325,1.06,17.05,832.0,0,standard_browser,0,0.0,0,0.0652,0.0,0,legitimate,legitimate_standard
TX_LEG_STD_000023,813.8880897451763,5.7,5411,0.1,0,0.0592,0.9982,visa,0.2,1.65,16.48,338.0,0,standard_browser,1,0.0,0,0.1122,0.0,0,legitimate,legitimate_standard
TX_LEG_STD_000024,819.8237419172344,11.35,7523,0.3,0,0.0596,0.9982,mastercard,0.1437,2.58,30.7,116.0,0,standard_browser,0,29.0,0,0.0212,0.0,0,legitimate,legitimate_standard
TX_LEG_STD_000025,825.7879368354622,16.92,5411,0.1,0,0.06,0.9982,visa,0.203,1.23,6.09,943.0,0,standard_browser,0,0.0,0,0.0059,0.0,0,legitimate,legitimate_standard
TX_LEG_STD_000026,837.4388042310372,8.22,7523,0.3,0,0.0609,0.9981,mastercard,0.1245,1.39,22.56,398.0,0,standard_browser,0,52.7,0,0.1148,0.0,0,legitimate,legitimate_standard
TX_LEG_STD_000027,847.4494861834302,21.76,5411,0.1,0,0.0616,0.9981,mastercard,0.0885,1.0,3.18,486.0,0,standard_browser,1,0.0,0,0.0192,0.0,0,legitimate,legitimate_standard
TX_FRD_BUSTOUT_000000,916.3278483552375,815.3,5816,0.88,0,0.0666,0.9978,visa,0.4142,8.0,791.95,24.0,0,automated_script,1,0.0,2,0.4852,0.0,1,synthetic_merchant_bustout,synthetic_merchant_bustout
TX_LEG_HN_000010,916.3547067930281,46.45,5311,0.4,0,0.0666,0.9978,visa,0.4599,1.52,5442.72,2087.0,0,standard_browser,0,0.0,0,0.051,0.0,0,legitimate_hard_negative,legitimate_hard_negative
TX_LEG_HN_000011,924.0051519224124,105.26,4121,0.35,0,0.0671,0.9977,visa,0.1787,1.09,5771.12,1006.0,0,standard_browser,2,0.0,0,0.0064,0.0,0,legitimate_hard_negative,legitimate_hard_negative
TX_LEG_STD_000028,959.0860673605022,10.35,4121,0.35,1,0.0697,0.9976,visa,0.0548,1.34,12.68,167.0,0,standard_browser,0,75.5,0,0.1469,0.0,0,legitimate,legitimate_standard
TX_LEG_STD_000029,973.6487572977218,14.01,5411,0.1,0,0.0707,0.9975,amex,0.0316,1.97,35.91,191.0,0,standard_browser,0,38.7,0,0.1482,0.0,0,legitimate,legitimate_standard
TX_LEG_STD_000030,1020.2679564848338,10.37,5812,0.15,0,0.0741,0.9972,mastercard,0.0645,1.93,0.1,772.0,0,standard_browser,0,36.5,1,0.0079,0.0,0,legitimate,legitimate_standard
TX_LEG_STD_000031,1022.169274526447,60.05,5411,0.1,0,0.0743,0.9972,visa,0.1555,0.58,23.6,159.0,0,standard_browser,0,0.0,0,0.0665,0.0,0,legitimate,legitimate_standard
TX_LEG_HN_000012,1043.7201865873903,26.63,5311,0.4,0,0.0758,0.9971,visa,0.0867,1.81,6980.5,53.0,0,standard_browser,0,0.0,0,0.0875,0.0,0,legitimate_hard_negative,legitimate_hard_negative
TX_LEG_STD_000032,1058.494210851007,15.27,5912,0.12,0,0.0769,0.997,mastercard,0.2685,2.17,62.0,510.0,0,standard_browser,1,67.7,0,0.0982,0.0,0,legitimate,legitimate_standard
TX_LEG_HN_000013,1081.1121858510787,141.08,5311,0.4,1,0.0785,0.9969,mastercard,0.065,1.48,3429.32,273.0,0,standard_browser,2,0.0,0,0.0066,455.0,0,legitimate_hard_negative,legitimate_hard_negative
TX_LEG_STD_000033,1105.950413948908,7.91,5812,0.15,0,0.0803,0.9968,visa,0.0695,1.89,18.38,1015.0,0,standard_browser,0,60.1,0,0.0085,0.0,0,legitimate,legitimate_standard
TX_LEG_STD_000034,1130.4682998611524,27.39,5912,0.12,0,0.0821,0.9966,visa,0.1849,1.02,2.48,682.0,0,standard_browser,1,32.1,0,0.0012,0.0,0,legitimate,legitimate_standard
TX_LEG_STD_000035,1151.3710445670945,8.0,5411,0.1,0,0.0836,0.9965,visa,0.0511,0.94,31.16,1007.0,0,standard_browser,0,0.0,0,0.0239,0.0,0,legitimate,legitimate_standard
TX_LEG_HN_000014,1178.100051481895,433.36,4121,0.35,0,0.0856,0.9963,mastercard,0.499,1.22,3852.41,173.0,0,standard_browser,1,78.8,0,0.1103,0.0,0,legitimate_hard_negative,legitimate_hard_negative
TX_LEG_HN_000015,1236.4926161465448,292.89,5311,0.4,0,0.0898,0.996,mastercard,0.3695,0.88,3021.52,339.0,0,standard_browser,0,80.6,0,0.1502,0.0,0,legitimate_hard_negative,legitimate_hard_negative
TX_LEG_HN_000016,1266.8650482958108,152.03,4121,0.35,0,0.092,0.9958,visa,0.1944,1.2,6162.85,875.0,0,standard_browser,0,51.7,0,0.0406,0.0,0,legitimate_hard_negative,legitimate_hard_negative
TX_LEG_STD_000036,1290.0575563526281,17.97,5411,0.1,0,0.0937,0.9956,mastercard,0.1851,0.99,0.1,867.0,0,standard_browser,0,23.8,0,0.0007,0.0,0,legitimate,legitimate_standard
TX_LEG_STD_000037,1300.4059670228835,4.29,5411,0.1,0,0.0944,0.9955,mastercard,0.0673,1.65,16.38,444.0,0,standard_browser,1,47.9,0,0.0205,0.0,0,legitimate,legitimate_standard
TX_LEG_STD_000038,1322.7071277507755,6.89,5812,0.15,0,0.096,0.9954,mastercard,0.0688,0.51,22.52,463.0,0,standard_browser,1,0.0,0,0.0059,0.0,0,legitimate,legitimate_standard
TX_LEG_STD_000039,1323.5417514810124,18.87,4121,0.35,1,0.0961,0.9954,mastercard,0.1768,1.73,44.37,2091.0,0,standard_browser,1,65.1,0,0.1703,0.0,0,legitimate,legitimate_standard
TX_LEG_STD_000040,1333.4985786972275,28.52,5541,0.18,0,0.0968,0.9953,amex,0.0762,1.09,27.08,348.0,0,standard_browser,0,64.1,0,0.0838,0.0,0,legitimate,legitimate_standard
TX_LEG_HN_000017,1359.5882185311168,188.19,5812,0.15,0,0.0987,0.9951,mastercard,0.4475,0.97,3366.72,175.0,0,standard_browser,1,80.1,2,0.1661,0.0,0,legitimate_hard_negative,legitimate_hard_negative
TX_LEG_HN_000018,1396.8148839164157,138.17,4121,0.35,0,0.1014,0.9948,visa,0.1195,1.22,8625.69,124.0,0,standard_browser,1,0.0,0,0.0223,0.0,0,legitimate_hard_negative,legitimate_hard_negative
TX_LEG_STD_000041,1407.1181939135677,19.03,5411,0.1,0,0.1022,0.9948,mastercard,0.1448,1.14,10.4,478.0,1,standard_browser,0,0.0,0,0.0839,324.0,0,legitimate,legitimate_standard
TX_LEG_STD_000042,1412.7043502263198,13.74,5912,0.12,0,0.1026,0.9947,mastercard,0.0387,0.99,8.9,454.0,0,standard_browser,0,0.0,0,0.1336,0.0,0,legitimate,legitimate_standard
TX_LEG_STD_000043,1423.4963451162607,13.28,4121,0.35,0,0.1033,0.9946,mastercard,0.128,0.62,0.1,127.0,0,standard_browser,0,77.8,0,0.209,367.0,0,legitimate,legitimate_standard
TX_LEG_STD_000044,1449.4779085089583,6.13,5411,0.1,0,0.1052,0.9944,visa,0.1855,3.29,25.21,288.0,0,standard_browser,0,0.0,0,0.0185,0.0,0,legitimate,legitimate_standard
TX_LEG_STD_000045,1458.665134193621,10.78,5812,0.15,0,0.1059,0.9944,mastercard,0.1834,1.63,12.65,73.0,0,standard_browser,0,0.0,0,0.1794,0.0,0,legitimate,legitimate_standard
TX_LEG_STD_000046,1474.3138902455655,12.0,5812,0.15,0,0.107,0.9943,visa,0.0404,2.79,3.6,320.0,0,standard_browser,0,42.6,0,0.0895,0.0,0,legitimate,legitimate_standard
TX_LEG_STD_000047,1493.9951469398607,35.44,5411,0.1,1,0.1084,0.9941,mastercard,0.0773,2.05,16.0,197.0,0,standard_browser,0,0.0,0,0.005,0.0,0,legitimate,legitimate_standard
TX_FRD_ATO_000000,1544.596701483256,517.83,5812,0.15,0,0.1121,0.9937,visa,0.4275,0.79,691.24,507.0,0,spoofed_mobile_browser,1,0.0,0,0.0523,0.0,1,account_takeover,account_takeover
TX_LEG_HN_000019,1549.0545377563294,165.54,5812,0.15,0,0.1124,0.9937,visa,0.5238,1.26,7598.49,565.0,0,standard_browser,0,34.3,0,0.0649,0.0,0,legitimate_hard_negative,legitimate_hard_negative
TX_LEG_HN_000020,1549.1911890789645,180.3,4121,0.35,0,0.1124,0.9937,mastercard,0.174,0.86,6006.79,1225.0,0,standard_browser,2,0.0,0,0.0248,0.0,0,legitimate_hard_negative,legitimate_hard_negative
TX_LEG_STD_000048,1563.3783251282282,20.45,5411,0.1,0,0.1134,0.9935,amex,0.01,1.25,5.01,833.0,0,standard_browser,0,0.0,0,0.113,0.0,0,legitimate,legitimate_standard
TX_LEG_HN_000021,1578.685037547536,121.33,5999,0.85,0,0.1146,0.9934,visa,0.1892,1.12,8998.12,559.0,0,standard_browser,0,47.4,0,0.1402,0.0,0,legitimate_hard_negative,legitimate_hard_negative
TX_LEG_STD_000049,1597.474268765876,4.82,5411,0.1,0,0.1159,0.9933,mastercard,0.0198,1.36,0.1,144.0,0,standard_browser,1,0.0,0,0.021,0.0,0,legitimate,legitimate_standard
TX_LEG_STD_000050,1619.460779573422,20.54,5912,0.12,0,0.1175,0.9931,visa,0.2973,1.68,6.67,309.0,0,standard_browser,0,0.0,0,0.0311,0.0,0,legitimate,legitimate_standard
TX_LEG_STD_000051,1637.8387641201527,12.34,5411,0.1,0,0.1188,0.9929,mastercard,0.1886,1.77,13.04,604.0,0,standard_browser,0,35.7,1,0.0027,0.0,0,legitimate,legitimate_standard
TX_LEG_HN_000022,1657.0901577525597,130.83,5311,0.4,0,0.1202,0.9927,mastercard,0.2984,1.02,5955.04,1296.0,0,standard_browser,0,0.0,0,0.0565,0.0,0,legitimate_hard_negative,legitimate_hard_negative
TX_LEG_STD_000052,1674.5955443407795,9.98,5411,0.1,0,0.1215,0.9926,visa,0.1525,1.44,2.56,70.0,0,standard_browser,0,0.0,2,0.039,0.0,0,legitimate,legitimate_standard
TX_FRD_DRIP_000000,1683.2485671276402,31.49,5816,0.88,0,0.1221,0.9925,mastercard,0.1462,0.74,0.1,51.0,0,residential_proxy_bot,1,0.0,0,0.0207,0.0,1,slow_drip,slow_drip_stealth
TX_LEG_STD_000053,1699.7924032800036,24.96,5812,0.15,0,0.1233,0.9924,mastercard,0.01,1.77,14.14,763.0,0,standard_browser,0,0.0,0,0.0073,0.0,0,legitimate,legitimate_standard
TX_LEG_STD_000054,1749.4546816641482,35.18,5411,0.1,0,0.1269,0.9919,visa,0.0964,1.81,45.82,140.0,2,standard_browser,0,0.0,0,0.0036,0.0,0,legitimate,legitimate_standard
TX_LEG_STD_000055,1830.9171731173244,32.21,5411,0.1,0,0.1328,0.9911,mastercard,0.01,1.64,0.1,181.0,0,standard_browser,0,0.0,1,0.1924,0.0,0,legitimate,legitimate_standard
TX_LEG_STD_000056,1833.8171870564381,8.91,5541,0.18,0,0.133,0.9911,visa,0.0494,0.76,24.39,1565.0,0,standard_browser,0,0.0,1,0.1438,0.0,0,legitimate,legitimate_standard
TX_LEG_STD_000057,1886.3321784525788,14.13,5411,0.1,0,0.1367,0.9906,mastercard,0.1709,1.66,18.76,117.0,0,standard_browser,0,0.0,0,0.0204,0.0,0,legitimate,legitimate_standard
TX_LEG_STD_000058,1891.2654247383784,22.36,5912,0.12,0,0.1371,0.9906,amex,0.2777,0.8,15.46,386.0,0,standard_browser,0,42.9,0,0.1168,0.0,0,legitimate,legitimate_standard
TX_LEG_HN_000023,1978.9137930003355,98.17,5411,0.1,0,0.1434,0.9897,mastercard,0.2052,0.56,5061.86,68.0,0,standard_browser,0,76.7,3,0.3057,0.0,0,legitimate_hard_negative,legitimate_hard_negative
TX_LEG_HN_000024,2018.0144171516026,102.25,4121,0.35,0,0.1462,0.9893,mastercard,0.3216,1.21,2046.02,605.0,1,standard_browser,0,0.0,0,0.0446,0.0,0,legitimate_hard_negative,legitimate_hard_negative
TX_LEG_HN_000025,2112.0846249356773,78.13,5311,0.4,0,0.153,0.9882,visa,0.2351,1.44,5749.44,317.0,0,standard_browser,1,83.6,3,0.0297,0.0,0,legitimate_hard_negative,legitimate_hard_negative
TX_LEG_HN_000026,2114.9392286636094,137.26,5541,0.18,0,0.1532,0.9882,amex,0.2567,1.21,6084.6,877.0,0,standard_browser,0,0.0,0,0.0425,0.0,0,legitimate_hard_negative,legitimate_hard_negative
TX_LEG_STD_000059,2139.0642539536125,29.43,5812,0.15,0,0.1549,0.9879,visa,0.2214,1.19,53.68,516.0,0,standard_browser,0,0.0,1,0.0098,0.0,0,legitimate,legitimate_standard
TX_LEG_HN_000027,2184.3740561787827,89.14,5411,0.1,0,0.1582,0.9874,visa,0.5184,1.56,3763.08,2775.0,0,standard_browser,1,70.0,0,0.0671,0.0,0,legitimate_hard_negative,legitimate_hard_negative
TX_LEG_HN_000028,2212.743859067348,140.73,5411,0.1,0,0.1602,0.9871,visa,0.1715,1.17,3104.3,130.0,1,standard_browser,2,0.0,0,0.0953,155.0,0,legitimate_hard_negative,legitimate_hard_negative
TX_LEG_STD_000060,2254.643267966293,11.9,5912,0.12,0,0.1632,0.9866,visa,0.416,1.58,13.64,678.0,0,standard_browser,0,75.2,0,0.0179,0.0,0,legitimate,legitimate_standard
TX_FRD_BUSTOUT_000001,2283.541734599492,713.33,7399,0.9,0,0.1653,0.9862,visa,0.2202,7.57,399.76,29.0,0,automated_script,0,0.0,0,0.5689,0.0,1,synthetic_merchant_bustout,synthetic_merchant_bustout
TX_LEG_STD_000061,2290.7717440182523,12.96,5912,0.12,0,0.1658,0.9862,mastercard,0.0947,1.35,5.22,300.0,0,standard_browser,0,69.5,0,0.0379,0.0,1,legitimate,label_noise_undetected
TX_LEG_STD_000062,2304.903039029035,7.75,5411,0.1,0,0.1668,0.986,amex,0.0284,1.88,13.66,305.0,0,standard_browser,0,0.0,0,0.0165,0.0,0,legitimate,legitimate_standard
TX_FRD_GHOST_000001,2305.01577446407,135.0,5411,0.1,0,0.1668,0.986,mastercard,0.1215,3.63,31.37,177.0,1,standard_browser,1,738.4,0,0.0014,0.0,1,adversarial_amount_structuring,ghost_tap_nfc_relay
TX_LEG_HN_000029,2345.1125300852873,75.83,5311,0.4,0,0.1697,0.9855,visa,0.0332,1.44,6544.57,38.0,0,standard_browser,0,0.0,1,0.1519,0.0,0,legitimate_hard_negative,legitimate_hard_negative
TX_LEG_HN_000030,2357.435961945201,231.99,4121,0.35,0,0.1706,0.9853,mastercard,0.4739,1.43,5374.13,113.0,0,standard_browser,0,0.0,2,0.1123,0.0,0,legitimate_hard_negative,legitimate_hard_negative
TX_LEG_HN_000031,2387.334079876402,109.67,4121,0.35,0,0.1727,0.985,visa,0.1713,0.79,4758.37,94.0,0,standard_browser,0,0.0,0,0.0686,0.0,0,legitimate_hard_negative,legitimate_hard_negative
TX_LEG_HN_000032,2421.5078005748737,69.57,5411,0.1,0,0.1752,0.9845,amex,0.3121,1.33,8250.49,321.0,1,standard_browser,1,0.0,2,0.0862,0.0,0,legitimate_hard_negative,legitimate_hard_negative
TX_LEG_STD_000063,2454.9783218094644,7.41,5541,0.18,0,0.1776,0.9841,visa,0.1523,1.0,21.34,391.0,0,standard_browser,1,0.0,0,0.0713,0.0,0,legitimate,legitimate_standard
TX_LEG_STD_000064,2464.9058769821836,28.34,5812,0.15,0,0.1783,0.984,visa,0.1148,0.45,44.2,88.0,0,standard_browser,0,0.0,0,0.0525,0.0,0,legitimate,legitimate_standard
TX_LEG_HN_000033,2493.6911878150368,86.92,5311,0.4,0,0.1804,0.9836,mastercard,0.1363,0.69,5701.28,431.0,0,standard_browser,1,26.3,0,0.0476,0.0,0,legitimate_hard_negative,legitimate_hard_negative
TX_LEG_HN_000034,2521.73561401621,69.79,5812,0.15,0,0.1824,0.9832,visa,0.2257,1.46,1199.38,144.0,0,standard_browser,1,0.0,0,0.0755,0.0,0,legitimate_hard_negative,legitimate_hard_negative
TX_LEG_STD_000065,2593.3259898916626,41.59,5541,0.18,0,0.1875,0.9823,visa,0.1429,2.43,18.7,129.0,0,standard_browser,0,0.0,0,0.0188,0.0,0,legitimate,legitimate_standard
TX_LEG_STD_000066,2601.9275192936007,15.3,5812,0.15,0,0.1881,0.9822,visa,0.0227,1.31,22.47,262.0,0,standard_browser,1,0.0,0,0.0553,0.0,0,legitimate,legitimate_standard
TX_LEG_STD_000067,2602.3324406465094,30.48,7523,0.3,0,0.1881,0.9821,mastercard,0.1442,1.57,31.81,428.0,0,standard_browser,0,0.0,0,0.0504,0.0,0,legitimate,legitimate_standard
TX_LEG_STD_000068,2635.2385509965493,21.35,4121,0.35,0,0.1905,0.9817,visa,0.1062,0.88,0.1,517.0,0,standard_browser,0,0.0,0,0.0764,0.0,0,legitimate,legitimate_standard
TX_LEG_STD_000069,2639.372580823838,10.84,7523,0.3,0,0.1908,0.9816,visa,0.1271,0.4,14.29,818.0,0,standard_browser,0,0.0,0,0.0019,0.0,0,legitimate,legitimate_standard
TX_LEG_HN_000035,2639.987950390092,473.26,5541,0.18,0,0.1908,0.9816,visa,0.5405,1.37,6376.83,1198.0,0,standard_browser,1,0.0,1,0.1346,0.0,0,legitimate_hard_negative,legitimate_hard_negative
TX_LEG_STD_000070,2642.7329075629373,22.38,5812,0.15,0,0.191,0.9816,mastercard,0.1734,1.34,17.83,554.0,0,standard_browser,0,0.0,0,0.0919,0.0,0,legitimate,legitimate_standard
TX_LEG_STD_000071,2686.6045797853367,45.53,5812,0.15,0,0.1941,0.981,amex,0.1133,1.48,33.23,456.0,0,standard_browser,0,0.0,0,0.0216,0.0,0,legitimate,legitimate_standard
TX_LEG_STD_000072,2687.662142116063,16.54,4121,0.35,0,0.1942,0.981,mastercard,0.0457,1.36,10.18,1302.0,0,standard_browser,1,35.5,2,0.1405,0.0,0,legitimate,legitimate_standard
TX_LEG_STD_000073,2732.2118860280434,46.54,5541,0.18,0,0.1974,0.9803,visa,0.0474,1.15,13.14,110.0,0,standard_browser,1,0.0,0,0.0193,273.0,0,legitimate,legitimate_standard
TX_LEG_STD_000074,2740.8141297346165,2.66,7523,0.3,0,0.198,0.9802,mastercard,0.0739,0.82,6.27,309.0,0,standard_browser,0,0.0,0,0.0419,0.0,0,legitimate,legitimate_standard
TX_LEG_STD_000075,2745.7050116909827,31.82,5812,0.15,0,0.1983,0.9801,visa,0.1116,2.85,16.23,1143.0,0,standard_browser,1,0.0,0,0.0835,0.0,0,legitimate,legitimate_standard
TX_LEG_STD_000076,2759.924897078112,17.67,4121,0.35,0,0.1994,0.9799,amex,0.01,1.13,21.57,382.0,0,standard_browser,0,0.0,0,0.0214,0.0,0,legitimate,legitimate_standard
TX_LEG_HN_000036,2779.340301022353,282.57,5812,0.15,0,0.2007,0.9796,mastercard,0.1993,2.05,6811.89,80.0,0,standard_browser,0,28.5,3,0.0646,0.0,0,legitimate_hard_negative,legitimate_hard_negative
TX_LEG_STD_000077,2785.241178272589,12.5,5411,0.1,0,0.2012,0.9796,mastercard,0.0831,2.92,58.37,299.0,0,standard_browser,0,42.0,0,0.0346,0.0,0,legitimate,legitimate_standard
TX_LEG_STD_000078,2804.9474676401496,17.13,5812,0.15,0,0.2026,0.9793,mastercard,0.1081,1.32,22.21,306.0,1,standard_browser,1,66.5,0,0.0919,0.0,0,legitimate,legitimate_standard
TX_LEG_STD_000079,2827.990374271198,4.1,5411,0.1,0,0.2042,0.9789,visa,0.0803,2.36,17.82,106.0,1,standard_browser,1,0.0,1,0.0789,0.0,0,legitimate,legitimate_standard
TX_LEG_HN_000037,2843.4077609575434,456.57,5541,0.18,0,0.2053,0.9787,visa,0.7,0.97,6811.06,334.0,0,standard_browser,0,0.0,0,0.0567,0.0,0,legitimate_hard_negative,legitimate_hard_negative
